515 1.3127 1.0716090000 0.8163360000
579 1.0444 1.6102480000 1.5416900000
643 1.4847 3.0339170000 2.0434720000
707 2.1054 4.8614060000 2.3090300000
771 2.6491 9.9864060000 3.5050200000
835 2.1815 9.7888340000 4.4871180000
899 2.0097 11.3797120000 5.6623320000
963 2.9843 18.5907870000 6.2295440000
1027 2.6264 19.9089400000 7.5803960000
1091 3.0041 28.5466660000 9.5022840000
1155 3.3252 32.6113320000 9.8074000000
1219 3.1884 38.7447710000 12.1516320000
1283 2.8699 45.4114130000 15.8228400000
1347 3.2505 51.8909110000 15.96365200
1411 3.2948 59.2436310000 17.9808180000
1475 3.5394 69.0010820000 19.4947050000
1539 3.6151 79.9118730000 22.1050820000
